main_objectid,objectname,sample_typename,created_date,updated_date,main_objectfilepath,linked_objectid,linked_objectfilepath,associated_typename
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13316,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13317,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13318,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13319,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13320,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13321,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13322,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13323,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13324,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13325,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13326,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13327,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13328,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13329,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13330,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13331,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13332,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13333,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13334,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13335,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13336,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13337,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13338,,Volume Composition
11104,10268 Ag-Au-Pd-Pt-Ru on 15nm Ta Library 1,Sample,2024-03-19T15:22:07.723,2024-03-21T15:04:14.047,,13339,,Volume Composition
