;x;y;Ru;Pd;Ag;Pt;Au;Total
Spektrum 1 {232};-45.167;8.523;4.0;18.1;7.0;6.9;14.0;50.0
Spektrum 1 {233};-40.672;8.523;4.0;19.2;6.3;7.5;12.9;50.0
Spektrum 1 {234};-36.171;8.523;3.9;20.5;6.3;7.0;12.3;50.0
Spektrum 1 {235};-31.67;8.523;4.8;22.0;5.2;6.5;11.5;50.0
Spektrum 1 {236};-27.171;8.523;4.2;23.4;4.8;6.3;11.2;50.0
Spektrum 1 {237};-22.67;8.523;4.9;24.3;4.6;6.1;10.1;50.0
Spektrum 1 {238};-18.169;8.523;4.8;25.9;4.1;5.9;9.4;50.0
Spektrum 1 {239};-13.669;8.523;4.9;27.2;3.5;5.5;8.8;50.0
Spektrum 1 {240};-9.171;8.523;5.1;28.8;2.7;5.2;8.3;50.0
Spektrum 1 {241};-4.67;8.523;5.2;29.6;2.9;5.3;7.0;50.0
Spektrum 1 {242};-0.17;8.523;5.3;30.5;3.1;4.8;6.3;50.0
Spektrum 1 {243};4.321;8.523;5.3;32.3;2.2;4.4;5.8;50.0
Spektrum 1 {244};8.819;8.523;5.4;33.2;2.1;4.2;5.1;50.0
Spektrum 1 {245};13.32;8.523;5.5;34.5;1.6;3.8;4.6;50.0
Spektrum 1 {246};17.819;8.523;5.6;34.9;1.7;3.5;4.3;50.0
Spektrum 1 {247};22.32;8.523;5.2;36.5;1.2;3.3;3.9;50.0
Spektrum 1 {248};26.818;8.523;5.3;37.1;1.4;3.1;3.1;50.0
Spektrum 1 {249};31.32;8.523;5.6;37.3;1.3;2.8;3.1;50.0
Spektrum 1 {250};35.819;8.523;5.4;38.5;0.9;2.5;2.7;50.0
Spektrum 1 {251};40.32;8.523;5.2;39.6;0.7;2.3;2.2;50.0
Spektrum 1 {252};44.82;8.523;5.3;39.9;0.8;1.9;2.0;50.0
Spektrum 1 {253};-45.168;13.021;4.2;17.5;7.8;7.6;12.9;50.0
Spektrum 1 {254};-40.671;13.021;4.5;18.7;7.2;7.6;12.0;50.0
Spektrum 1 {255};-36.172;13.021;4.7;19.8;6.2;7.4;11.9;50.0
Spektrum 1 {256};-31.672;13.021;4.8;21.2;5.6;7.4;10.9;50.0
Spektrum 1 {257};-27.17;13.021;4.8;22.8;5.2;6.9;10.2;50.0
Spektrum 1 {258};-22.67;13.021;4.9;24.2;4.5;6.8;9.6;50.0
Spektrum 1 {259};-18.168;13.021;5.4;24.8;4.3;6.5;9.0;50.0
Spektrum 1 {260};-13.67;13.021;5.1;26.2;4.5;6.2;8.1;50.0
Spektrum 1 {261};-9.169;13.021;5.5;28.1;2.9;5.9;7.6;50.0
Spektrum 1 {262};-4.67;13.021;5.8;28.5;3.2;5.4;7.1;50.0
Spektrum 1 {263};-0.171;13.021;5.7;30.3;2.6;5.1;6.3;50.0
Spektrum 1 {264};4.318;13.021;5.6;31.4;2.4;5.2;5.4;50.0
Spektrum 1 {265};8.818;13.021;5.8;32.4;2.1;4.6;5.0;50.0
Spektrum 1 {266};13.318;13.021;6.2;33.6;1.8;4.1;4.4;50.0
Spektrum 1 {267};17.818;13.021;6.2;34.6;1.8;3.8;3.8;50.0
Spektrum 1 {268};22.32;13.021;5.8;35.6;1.7;3.4;3.4;50.0
Spektrum 1 {269};26.82;13.021;5.6;36.8;1.2;3.3;3.1;50.0
Spektrum 1 {270};31.32;13.021;5.9;37.2;1.1;3.0;2.9;50.0
Spektrum 1 {271};35.819;13.021;5.7;37.9;1.1;2.9;2.4;50.0
Spektrum 1 {272};40.318;13.021;5.8;38.7;0.8;2.5;2.1;50.0
Spektrum 1 {273};44.819;13.021;5.6;39.7;0.7;2.2;1.9;50.0
Spektrum 1 {275};-40.672;17.523;5.1;18.6;6.6;8.4;11.3;50.0
Spektrum 1 {276};-36.171;17.523;4.7;20.0;6.4;8.0;10.9;50.0
Spektrum 1 {277};-31.67;17.523;4.7;21.2;5.5;8.2;10.3;50.0
Spektrum 1 {278};-27.171;17.523;5.5;22.2;5.0;7.8;9.5;50.0
Spektrum 1 {279};-22.67;17.523;5.4;23.4;5.1;7.3;8.8;50.0
Spektrum 1 {280};-18.169;17.523;5.8;24.8;4.2;7.0;8.2;50.0
Spektrum 1 {281};-13.67;17.523;5.6;26.4;3.9;6.6;7.4;50.0
Spektrum 1 {282};-9.17;17.523;5.7;27.9;2.8;6.6;7.0;50.0
Spektrum 1 {283};-4.671;17.523;5.9;28.4;3.1;6.4;6.3;50.0
Spektrum 1 {284};-0.169;17.523;6.4;29.2;3.1;5.7;5.6;50.0
Spektrum 1 {285};4.318;17.523;6.4;31.3;2.3;5.3;4.7;50.0
Spektrum 1 {286};8.819;17.523;6.2;32.2;2.1;5.2;4.3;50.0
Spektrum 1 {287};13.32;17.523;6.3;33.2;1.6;4.8;4.1;50.0
Spektrum 1 {288};17.819;17.523;6.1;34.2;1.8;4.1;3.7;50.0
Spektrum 1 {289};22.32;17.523;6.0;35.1;1.7;4.1;3.1;50.0
Spektrum 1 {290};26.819;17.523;6.2;36.1;1.2;3.7;2.8;50.0
Spektrum 1 {291};31.318;17.523;6.0;36.8;1.2;3.2;2.6;50.0
Spektrum 1 {292};35.818;17.523;6.4;37.6;0.5;3.2;2.3;50.0
Spektrum 1 {293};40.319;17.523;6.0;38.1;1.0;2.7;2.3;50.0
Spektrum 1 {296};-40.67;22.025;4.9;18.1;7.2;9.2;10.6;50.0
